Timestamp,DL_bitrate,UL_bitrate,Throughput,OT,date
2020.01.16_10.48.03,22145925.12,9143582.72,31289507.84,31289507.84,2020.01.16_10.48.03
2020.01.16_10.48.03,20384317.44,7241728,27626045.44,27626045.44,2020.01.16_10.48.03
2020.01.16_10.48.04,8052736,14008975.36,22061711.36,22061711.36,2020.01.16_10.48.04
2020.01.16_10.48.05,2744320,7528448,10272768,10272768,2020.01.16_10.48.05
2020.01.16_10.48.06,15686696.96,18874368,34561064.96,34561064.96,2020.01.16_10.48.06
2020.01.16_10.48.07,17616076.8,5185536,22801612.8,22801612.8,2020.01.16_10.48.07
2020.01.16_10.48.09,10401873.92,6758400,17160273.92,17160273.92,2020.01.16_10.48.09
2020.01.16_10.48.10,74383.36,5373952,5448335.36,5448335.36,2020.01.16_10.48.10
2020.01.16_10.48.11,13925089.28,13925089.28,27850178.56,27850178.56,2020.01.16_10.48.11
2020.01.16_10.48.12,2801664,20048773.12,22850437.12,22850437.12,2020.01.16_10.48.12
2020.01.16_10.48.13,16777216,15351152.64,32128368.64,32128368.64,2020.01.16_10.48.13
2020.01.16_10.48.14,13673431.04,6864896,20538327.04,20538327.04,2020.01.16_10.48.14
2020.01.16_10.48.15,7741440,10821304.32,18562744.32,18562744.32,2020.01.16_10.48.15
2020.01.16_10.48.17,3260416,13673431.04,16933847.04,16933847.04,2020.01.16_10.48.17
2020.01.16_10.48.17,6225920,6725632,12951552,12951552,2020.01.16_10.48.17
2020.01.16_10.48.18,11660165.12,23823646.72,35483811.84,35483811.84,2020.01.16_10.48.18
2020.01.16_10.48.19,16441671.68,4464640,20906311.68,20906311.68,2020.01.16_10.48.19
2020.01.16_10.48.20,6897664,26927431.68,33825095.68,33825095.68,2020.01.16_10.48.20
2020.01.16_10.48.21,1212416,14680064,15892480,15892480,2020.01.16_10.48.21
2020.01.16_10.48.23,6938624,14596177.92,21534801.92,21534801.92,2020.01.16_10.48.23
2020.01.16_10.48.24,4653056,14512291.84,19165347.84,19165347.84,2020.01.16_10.48.24
2020.01.16_10.48.25,868352,9730785.28,10599137.28,10599137.28,2020.01.16_10.48.25
2020.01.16_10.48.26,0,12666798.08,12666798.08,12666798.08,2020.01.16_10.48.26
2020.01.16_10.48.27,2088960,25501368.32,27590328.32,27590328.32,2020.01.16_10.48.27
2020.01.16_10.48.28,2088960,17280532.48,19369492.48,19369492.48,2020.01.16_10.48.28
2020.01.16_10.48.29,5005312,5431296,10436608,10436608,2020.01.16_10.48.29
2020.01.16_10.48.31,12834570.24,10066329.6,22900899.84,22900899.84,2020.01.16_10.48.31
2020.01.16_10.48.31,10737418.24,2424832,13162250.24,13162250.24,2020.01.16_10.48.31
2020.01.16_10.48.32,6561792,6275072,12836864,12836864,2020.01.16_10.48.32
2020.01.16_10.48.33,6365184,0,6365184,6365184,2020.01.16_10.48.33
2020.01.16_10.48.34,6725632,9563013.12,16288645.12,16288645.12,2020.01.16_10.48.34
2020.01.16_10.48.35,11827937.28,11324620.8,23152558.08,23152558.08,2020.01.16_10.48.35
2020.01.16_10.48.36,7716864,11995709.44,19712573.44,19712573.44,2020.01.16_10.48.36
2020.01.16_10.48.38,9479127.04,5677056,15156183.04,15156183.04,2020.01.16_10.48.38
2020.01.16_10.48.39,17699962.88,19797114.88,37497077.76,37497077.76,2020.01.16_10.48.39
2020.01.16_10.48.40,20803747.84,12834570.24,33638318.08,33638318.08,2020.01.16_10.48.40
2020.01.16_10.48.41,18454937.6,6774784,25229721.6,25229721.6,2020.01.16_10.48.41
2020.01.16_10.48.42,12499025.92,6897664,19396689.92,19396689.92,2020.01.16_10.48.42
2020.01.16_10.48.44,991232,10905190.4,11896422.4,11896422.4,2020.01.16_10.48.44
2020.01.16_10.48.44,3530752,16525557.76,20056309.76,20056309.76,2020.01.16_10.48.44
2020.01.16_10.48.45,9227468.8,15015608.32,24243077.12,24243077.12,2020.01.16_10.48.45
2020.01.16_10.48.46,7151616,8241152,15392768,15392768,2020.01.16_10.48.46
2020.01.16_10.48.47,19797114.88,21810380.8,41607495.68,41607495.68,2020.01.16_10.48.47
