Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ,OT,Throughput
2020.02.13_13.58.46,-8.394564,51.886198,0,B,11,5G,-102,-11,-5,11,-103,19087,65,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,19152,19152
2020.02.13_13.58.47,-8.394564,51.886198,0,B,11,5G,-101,-11,-4,11,-103,18574,71,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,18645,18645
2020.02.13_13.58.48,-8.394564,51.886198,0,B,11,5G,-101,-11,-4,11,-103,17790,71,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,17861,17861
2020.02.13_13.58.49,-8.394564,51.886198,0,B,11,5G,-102,-13,-4,12,-103,17711,68,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-11,17779,17779
2020.02.13_13.58.50,-8.394564,51.886198,0,B,11,5G,-102,-13,-4,12,-103,19008,77,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-11,19085,19085
2020.02.13_13.58.52,-8.394564,51.886198,0,B,11,5G,-101,-10,7,12,-103,18112,76,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-11,18188,18188
2020.02.13_13.58.53,-8.394564,51.886198,0,B,11,5G,-101,-10,7,12,-103,18073,74,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-11,18147,18147
2020.02.13_13.58.54,-8.394564,51.886198,0,B,11,5G,-102,-13,1,11,-103,17285,67,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,17352,17352
2020.02.13_13.58.55,-8.394564,51.886198,0,B,11,5G,-102,-13,1,11,-103,14759,75,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,14834,14834
2020.02.13_13.58.56,-8.394564,51.886198,0,B,11,5G,-102,-11,0,11,-103,1,1,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,2,2
2020.02.13_13.58.57,-8.394564,51.886198,0,B,11,5G,-102,-11,0,11,-103,1,1,D,75,71,77,2,0,B,A4DF,9CBA,10805003,-104,-12,2,2
2020.02.13_13.58.57,-8.394564,51.886198,0,B,11,5G,-102,-11,0,11,-103,6930,126,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,7056,7056
2020.02.13_13.58.58,-8.394564,51.886198,0,B,11,5G,-101,-11,5,8,-103,15573,123,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,15696,15696
2020.02.13_13.59.00,-8.394564,51.886198,0,B,11,5G,-101,-11,5,8,-105,15982,93,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,16075,16075
2020.02.13_13.59.01,-8.394564,51.886198,0,B,11,5G,-103,-12,5,12,-105,19153,78,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11,19231,19231
2020.02.13_13.59.02,-8.394564,51.886198,0,B,11,5G,-103,-12,5,12,-103,18382,66,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11,18448,18448
2020.02.13_13.59.03,-8.394564,51.886198,0,B,11,5G,-101,-11,4,9,-103,18527,71,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,18598,18598
2020.02.13_13.59.04,-8.394564,51.886198,0,B,11,5G,-101,-11,4,9,-103,19135,69,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,19204,19204
2020.02.13_13.59.06,-8.394564,51.886198,0,B,11,5G,-103,-12,3,9,-103,18870,73,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,18943,18943
2020.02.13_13.59.07,-8.394564,51.886198,0,B,11,5G,-103,-12,3,9,-103,19291,72,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,19363,19363
2020.02.13_13.59.08,-8.394564,51.886198,0,B,11,5G,-101,-13,3,13,-103,18279,70,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,18349,18349
2020.02.13_13.59.09,-8.394564,51.886198,0,B,11,5G,-101,-13,3,13,-103,15129,46,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,15175,15175
2020.02.13_13.59.10,-8.394564,51.886198,0,B,11,5G,-101,-9,6,15,-103,1,1,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-9,2,2
2020.02.13_13.59.10,-8.394564,51.886198,0,B,11,5G,-101,-9,6,15,-103,1,1,D,71,70,73,1,0,B,A4DF,9CBA,10805003,-102,-9,2,2
2020.02.13_13.59.11,-8.394564,51.886198,0,B,11,5G,-101,-9,6,15,-103,13675,209,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-9,13884,13884
